Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.058984133525654237,0.049041829796002474,0.0421023836364916,0.038873220202543274
1,0.05934473521533072,0.049556975066968885,0.04248946079449453,0.039315134676951004
2,0.05733566865856171,0.04940243148567896,0.04220186670313133,0.039663671982727085
3,0.05970533690500721,0.0509478672985782,0.043241464796383806,0.040401738169880214
4,0.05924170616113744,0.05063878013599835,0.042919988007460295,0.04015033604749689
5,0.057438697712755,0.048990315268905835,0.04247555738973587,0.03976457114844287
mean,0.05867504636307439,0.049763033175355444,0.042571786887949575,0.03969477870467355
max,0.05970533690500721,0.0509478672985782,0.043241464796383806,0.040401738169880214
