Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.010457449000618175,0.006439315887080157,0.005630108259520014,0.004353035917034156
1,0.010508963527714816,0.006490830414176798,0.005677405873837148,0.004401100286159126
2,0.010457449000618175,0.006490830414176798,0.005641544141361763,0.004380440493765697
3,0.010457449000618175,0.00659385946837008,0.005641906002303992,0.004403848466790591
4,0.010560478054811457,0.006490830414176798,0.005775740709571278,0.004474652045837974
5,0.010354419946424892,0.00659385946837008,0.0056501337971454355,0.004443214924800582
mean,0.01046603475513428,0.006516587677725119,0.005669473130623271,0.004409382022398021
max,0.010560478054811457,0.00659385946837008,0.005775740709571278,0.004474652045837974
