Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.09288069235524418,0.08041417679785699,0.07102497246979061,0.06706147193307473
1,0.09329280857201731,0.08072326396043684,0.07123944651065486,0.0672243860204981
2,0.09329280857201731,0.07989903152689058,0.07140057647552331,0.0671007040098087
3,0.09344735215330724,0.08000206058108386,0.07147267725719085,0.0672015307909524
4,0.0927776633010509,0.07969297341850402,0.07064363909111386,0.06647633351672419
5,0.09318977951782402,0.08051720585205027,0.07127212553466415,0.06724524772455151
mean,0.0931468507452435,0.08020811868947042,0.07117557288982294,0.06705161233260161
max,0.09344735215330724,0.08072326396043684,0.07147267725719085,0.06724524772455151
