Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.07763239233463837,0.06537193488563775,0.058135653600093505,0.05418978366849067
1,0.07737481969915516,0.0650628477230579,0.057927622345792476,0.05399258307758075
2,0.07701421800947868,0.06495981866886462,0.05783411388148197,0.05394996924645916
3,0.07613847104883577,0.06459921697918813,0.05757846986126081,0.053820873075146894
4,0.07711724706367196,0.06490830414176797,0.05755191756196345,0.05364384120073811
5,0.07691118895528538,0.06516587677725119,0.05761319585095737,0.053858152850271984
mean,0.07703138951851088,0.06501133319596125,0.05777349551692493,0.053909200519781264
max,0.07763239233463837,0.06537193488563775,0.058135653600093505,0.05418978366849067
