Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.06310529569338554,0.053678137234700184,0.04234916869135858,0.03927485767544194
1,0.06233257778693592,0.0533175355450237,0.0423231942083326,0.03940005577525133
2,0.06295075211209561,0.05275087574696064,0.041407657416554076,0.03809311214125248
3,0.06259015042241912,0.05347207912631362,0.04234482214146061,0.03939111861256547
4,0.0624356068411292,0.05347207912631362,0.042013289167871073,0.039113228901412084
5,0.06228106325983927,0.05290541932825057,0.04171491449242477,0.038648940201117844
mean,0.06261590768596745,0.05326602101792705,0.04202550768633362,0.03898688555117352
max,0.06310529569338554,0.053678137234700184,0.04234916869135858,0.03940005577525133
