Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.010354419946424892,0.0056665979806305375,0.005197776719027291,0.0037108806934023734
1,0.01030290541932825,0.0055635689264372555,0.005127066998051973,0.0036045862884751746
2,0.010560478054811457,0.0056665979806305375,0.005251354301847363,0.0037063017381409606
3,0.010354419946424892,0.005615083453533897,0.005207554448888858,0.003702915415830573
4,0.009942303729651762,0.005305996290954049,0.005052645363724972,0.0035584098646747582
5,0.010405934473521533,0.0056665979806305375,0.005186784116399955,0.0036715421304544626
mean,0.010320076928360464,0.005580740435469469,0.005170530324656735,0.003659106021829717
max,0.010560478054811457,0.0056665979806305375,0.005251354301847363,0.0037108806934023734
