Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.06315681022048218,0.05527508757469606,0.04855768661112448,0.0459773746760252
1,0.06315681022048218,0.05512054399340614,0.04851767289223536,0.0458908590941401
2,0.0624356068411292,0.05553266021017927,0.048390658495583175,0.04616234088767258
3,0.06176591798887286,0.054605398722439726,0.04744006609659668,0.045107200985566344
4,0.06305378116628889,0.05542963115598599,0.04827091070831575,0.045795059100551205
5,0.06217803420564599,0.05429631155985988,0.04824279957337364,0.04570607775928932
mean,0.06262449344048356,0.05504327220276117,0.04823663239620485,0.04577315208387412
max,0.06315681022048218,0.05553266021017927,0.04855768661112448,0.04616234088767258
