Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.06820523387595302,0.060993200082423246,0.05517015432551078,0.05287964318732392
1,0.06676282711724707,0.060581083865650115,0.054335670178708946,0.05234778879275021
2,0.06758705955079332,0.06027199670307026,0.05474224048874203,0.052382713926363254
3,0.06717494333402019,0.06037502575726355,0.05474296750182982,0.05256934269252804
4,0.0674325159695034,0.061611374407582936,0.054769817784344324,0.05292839014553569
5,0.06769008860498661,0.06078714197403668,0.05464077528825611,0.05242935944212401
mean,0.06747544474208393,0.060769970465004465,0.054733604261232,0.05258953969777085
max,0.06820523387595302,0.061611374407582936,0.05517015432551078,0.05292839014553569
