Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.08149598186688646,0.0724294250978776,0.06713813287581878,0.06422263927293925
1,0.08262930146301257,0.0721718524623944,0.06766663940871114,0.0642911506652029
2,0.08273233051720585,0.07237791057078095,0.06738355292424508,0.06404075770439724
3,0.08232021430043272,0.07284154131465073,0.06737169081443127,0.06430520502734352
4,0.08257778693591593,0.0724294250978776,0.06763393499852556,0.06438794086678251
5,0.08268081599010921,0.07284154131465073,0.06763851093700544,0.06445125582398749
mean,0.08240607184559379,0.07251528264303868,0.06747207699312288,0.06428315822677548
max,0.08273233051720585,0.07284154131465073,0.06766663940871114,0.06445125582398749
