Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.016999793941891612,0.009942303729651762,0.008380001740214077,0.006117171185040652
1,0.01638161961673192,0.009684731094168555,0.00815278381776705,0.0059917060081571254
2,0.01684525036060169,0.009787760148361838,0.0083334911542077,0.006062510932995538
3,0.01684525036060169,0.00989078920255512,0.00834065521550893,0.0061113703559751075
4,0.016639192252215124,0.009684731094168555,0.0082566567179503,0.006013559779292606
5,0.01689676488769833,0.009942303729651762,0.008373756658514768,0.006145704559061934
mean,0.016767978569956727,0.009822103166426266,0.00830622421736047,0.00607367047008716
max,0.016999793941891612,0.009942303729651762,0.008380001740214077,0.006145704559061934
