Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.012672573665773748,0.004636307438697713,0.0049920025190647475,0.002370855386323792
1,0.012621059138677107,0.00494539460127756,0.004941500717834409,0.002445897477451353
2,0.012827117247063672,0.005099938182567484,0.004978134102406802,0.0024865217498646797
3,0.012827117247063672,0.004996909128374202,0.005016585874989652,0.0024838945408096878
4,0.012569544611580465,0.005048423655470843,0.004912584083726504,0.002475808256881998
5,0.012981660828353597,0.004996909128374202,0.005007978500056642,0.002446295021768361
mean,0.012749845456418711,0.004953980355793667,0.004974797633013126,0.0024515454055166453
max,0.012981660828353597,0.005099938182567484,0.005016585874989652,0.0024865217498646797
