Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.010560478054811457,0.006181743251596951,0.005277424480507461,0.0038787847914755116
1,0.010457449000618175,0.006181743251596951,0.005231582701155095,0.003858458707737808
2,0.010199876365134967,0.005821141561920462,0.005113027692240173,0.0037016576014272363
3,0.010560478054811457,0.005975685143210385,0.005255475836122606,0.0037910122449271205
4,0.01030290541932825,0.005975685143210385,0.0051388702357934865,0.0037583905712552422
5,0.010560478054811457,0.0056665979806305375,0.0052195490535171625,0.003646267476979836
mean,0.010440277491585962,0.005967099388694279,0.005205988333222665,0.0037724285656337924
max,0.010560478054811457,0.006181743251596951,0.005277424480507461,0.0038787847914755116
