Template ID,MAE,RMSE
0,0.6217023907666942,1.1929046208561758
1,0.6161100803957947,1.186074112199125
2,0.6236409542948421,1.195545742885561
3,0.6309063739887669,1.2055675450095946
4,0.6261658164579791,1.199826510534785
mean,0.6237051231808154,1.1959837062970484
min,0.6161100803957947,1.186074112199125
