Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.07072944570368844,0.0639295281269318,0.05741844329299714,0.05522503238137624
1,0.06969915516175562,0.06300226663919226,0.05676523272040197,0.05460619340004599
2,0.07083247475788172,0.06423861528951164,0.057430843951181726,0.055319162939844346
3,0.06995672779723883,0.06351741191015867,0.056967791725703563,0.05491014385629652
4,0.07072944570368844,0.06439315887080156,0.05739253760646387,0.05535397971822545
5,0.07047187306820524,0.0635689264372553,0.057190281414007074,0.05499727609309162
mean,0.07040318703207639,0.06377498454564186,0.057194188451792555,0.055068631398146696
max,0.07083247475788172,0.06439315887080156,0.057430843951181726,0.05535397971822545
