Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.0791778281475376,0.06949309705336905,0.06350718989680829,0.0604217741298736
1,0.07763239233463837,0.06866886461982279,0.06225966109994421,0.059373468930195884
2,0.07809602307850814,0.06872037914691943,0.06286749833783851,0.05985900477581633
3,0.08005357510818051,0.06985369874304553,0.06380967706722804,0.06054472766626121
4,0.07819905213270142,0.06841129198433958,0.06252835027403027,0.05941043669099865
5,0.07835359571399135,0.06810220482175974,0.06246328979754142,0.05918043635370462
mean,0.07858541108592625,0.06887492272820935,0.06290594441223178,0.05979830809114172
max,0.08005357510818051,0.06985369874304553,0.06380967706722804,0.06054472766626121
