Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.009324129404492067,0.006078714197403668,0.004513484773314626,0.00348089074214237
1,0.009221100350298784,0.0060271996703070265,0.004531367693645927,0.0035160199990837966
2,0.009324129404492067,0.006078714197403668,0.004545406944670158,0.003517880014566853
3,0.009221100350298784,0.0060271996703070265,0.004521921416668234,0.0035079895052802673
4,0.009375643931588708,0.0060271996703070265,0.004526432885700944,0.0034721942115978374
5,0.009375643931588708,0.0060271996703070265,0.004570572101664962,0.0035082674238118322
mean,0.009306957895459855,0.00604437117933924,0.004534864302610808,0.003500540316080493
max,0.009375643931588708,0.006078714197403668,0.004570572101664962,0.003517880014566853
