Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.021275499690912837,0.013033175355450236,0.010191589961481508,0.007567410126481945
1,0.021172470636719554,0.012981660828353597,0.010201113652356318,0.007590327478675438
2,0.02137852874510612,0.012930146301256955,0.010270601096671604,0.007586579552647245
3,0.021172470636719554,0.01272408819287039,0.010146218386163027,0.0074439061219124065
4,0.021275499690912837,0.012415001030290541,0.010278310660428504,0.007440640805957906
5,0.021481557799299403,0.013033175355450236,0.010394017247532113,0.007702792361923108
mean,0.021292671199945056,0.01285287451061199,0.010246975167438846,0.007555276074599676
max,0.021481557799299403,0.013033175355450236,0.010394017247532113,0.007702792361923108
