Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.08031114774366371,0.07072944570368844,0.0650539133271889,0.061943534033007126
1,0.08077477848753349,0.07052338759530187,0.06510203887811629,0.0618297091563626
2,0.08010508963527715,0.07047187306820524,0.06439578023968832,0.06126260594862084
3,0.08077477848753349,0.07057490212239852,0.06498392381566717,0.06168214829004341
4,0.07938388625592417,0.06975066968885225,0.0643214398308883,0.06121897088061481
5,0.08041417679785699,0.07057490212239852,0.06478267776981257,0.061592620015447665
mean,0.08029397623463151,0.0704375300501408,0.06477329564356026,0.06158826472068274
max,0.08077477848753349,0.07072944570368844,0.06510203887811629,0.061943534033007126
