Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.08386565011333195,0.07212033793529775,0.0647506420226743,0.06096386665249641
1,0.08386565011333195,0.07165670719142798,0.06454817602016978,0.060614025607323124
2,0.08355656295075212,0.07232639604368432,0.064762030615919,0.06117592025499386
3,0.08402019369462188,0.07196579435400784,0.06502852937316465,0.06114881571140874
4,0.08340201936946219,0.07165670719142798,0.06427392183402936,0.06051163022537316
5,0.08360807747784875,0.07232639604368432,0.06512589254799013,0.061502920375126696
mean,0.08371969228655814,0.07200872312658836,0.06474819873565787,0.06098619647112034
max,0.08402019369462188,0.07232639604368432,0.06512589254799013,0.061502920375126696
