Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.06078714197403668,0.052029672367607666,0.04098463495349381,0.03815813874335294
1,0.06047805481145683,0.052029672367607666,0.040980551857112996,0.038250459623739186
2,0.058675046363074385,0.05027817844632186,0.039485404521032635,0.03679353530741699
3,0.0600659385946837,0.051926643313414386,0.04087416121467675,0.038236535224355724
4,0.05877807541726767,0.05074180919019163,0.04050867373219889,0.0379441444994798
5,0.058211415619204614,0.04971151864825881,0.03942190610710332,0.036695880297119135
mean,0.05949927879662065,0.05111958238890033,0.04037588873093639,0.0376797822825773
max,0.06078714197403668,0.052029672367607666,0.04098463495349381,0.038250459623739186
