Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.021017927055429632,0.012878631774160314,0.010209659741172676,0.007611883481754397
1,0.020863383474139706,0.012518030084483824,0.010160562311216169,0.007476593011816012
2,0.02096641252833299,0.012363486503193901,0.010051245485555329,0.007298160262777364
3,0.02091489800123635,0.012208942921903977,0.01013006584080663,0.00733675952721542
4,0.020760354419946427,0.012363486503193901,0.01017116057623479,0.007475861793622696
5,0.021017927055429632,0.01231197197609726,0.010132126324846525,0.007336334087836332
mean,0.020923483755752453,0.012440758293838864,0.010142470046638685,0.0074225986941703695
max,0.021017927055429632,0.012878631774160314,0.010209659741172676,0.007611883481754397
