Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.06562950752112096,0.05723263960436843,0.048968606466402886,0.04626159283897302
1,0.06599010921079744,0.057593241294044924,0.050305398192017126,0.04759964432261367
2,0.06604162373789409,0.0576962703482382,0.050725299628991895,0.0480017063416594
3,0.06614465279208737,0.057078096023078506,0.0502879085813079,0.04735920482744427
4,0.06629919637337729,0.057026581495981866,0.04984578220082121,0.04685049399555059
5,0.06511436225015454,0.05676900886049866,0.050233596187663584,0.04754588396318576
mean,0.06586990864757195,0.05723263960436844,0.05006109854286744,0.04726975438157111
max,0.06629919637337729,0.0576962703482382,0.050725299628991895,0.0480017063416594
