Template ID,Hit@10,Hit@5,Hit@1,NDCG@10,NDCG@5
5-5,0.17051308468988255,0.10570780960230786,0.037451061199258194,0.09279630318148618,0.0720772764612378
5-8,0.16701009684731094,0.10138058932618998,0.038069235524417884,0.09082433914514197,0.0698124026938365
mean,0.16876159076859676,0.10354419946424892,0.03776014836183804,0.09181032116331408,0.07094483957753714
max,0.17051308468988255,0.10570780960230786,0.038069235524417884,0.09279630318148618,0.0720772764612378
