Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.07701421800947868,0.06578405110241088,0.06038830586459576,0.05676969599051092
1,0.07557181125077272,0.06516587677725119,0.059248481344407904,0.05589635546362934
2,0.0753142386152895,0.0654234494127344,0.058817267946520355,0.05560584453159867
3,0.07701421800947868,0.06547496393983103,0.06037986531282655,0.056673803851748014
4,0.07593241294044921,0.06511436225015454,0.05947647499754038,0.05598590434307847
5,0.07603544199464249,0.0653204203585411,0.058938488773202444,0.05546977778313928
mean,0.07614705680335188,0.06538052064015386,0.05954148070651557,0.05606689699395079
max,0.07701421800947868,0.06578405110241088,0.06038830586459576,0.05676969599051092
