Template ID,Hit@10,Hit@5,NDCG@10,NDCG@5
0,0.08474139707397486,0.073665773748197,0.06918137976995395,0.06565043482930082
1,0.08572017308881104,0.07423243354626005,0.06945529236985337,0.0657685759840094
2,0.08463836801978158,0.07423243354626005,0.06895461331305032,0.06560135411772725
3,0.08535957139913455,0.07469606429012982,0.06914371720044517,0.06572750780326247
4,0.0850504842365547,0.07387183185658355,0.0691106195994357,0.06553008505909237
5,0.08458685349268494,0.07345971563981042,0.06912105521748343,0.06550588344756274
mean,0.08501614121849027,0.07402637543787348,0.06916111291170367,0.06563064020682584
max,0.08572017308881104,0.07469606429012982,0.06945529236985337,0.0657685759840094
